label,url_length,special_chars,ip_in_url,subdomains,dots_in_url,path_length,has_query_string,has_redirect,digit_count,tld_is_short,true_actor_profile
1,67,14,0,4,4,39,1,1,9,1,State-Sponsored
1,86,12,0,4,6,35,1,1,9,0,State-Sponsored
1,99,13,0,3,6,35,1,1,14,0,State-Sponsored
1,65,14,0,3,4,43,1,1,7,1,State-Sponsored
1,65,14,0,4,6,37,0,0,8,1,State-Sponsored
1,85,11,0,4,5,40,1,1,9,0,State-Sponsored
1,74,16,0,3,4,40,1,1,10,1,State-Sponsored
1,72,10,0,3,6,39,1,0,6,0,State-Sponsored
1,82,15,0,3,7,41,1,1,9,0,State-Sponsored
1,93,14,0,4,6,54,0,1,6,1,State-Sponsored
1,94,13,0,3,7,58,1,1,12,1,State-Sponsored
1,66,13,0,3,4,56,1,1,7,0,State-Sponsored
1,81,12,0,3,7,31,1,1,5,0,State-Sponsored
1,67,16,0,4,4,54,1,1,6,1,State-Sponsored
1,93,16,0,3,5,57,1,1,8,0,State-Sponsored
1,94,11,0,3,7,58,1,1,13,1,State-Sponsored
1,70,10,0,4,4,56,1,1,5,1,State-Sponsored
1,70,12,0,3,5,33,0,0,11,1,State-Sponsored
1,82,12,0,3,5,46,1,0,13,0,State-Sponsored
1,91,14,0,3,5,51,1,0,7,0,State-Sponsored
1,80,10,0,3,5,44,1,1,9,1,State-Sponsored
1,70,14,0,4,6,47,1,1,10,1,State-Sponsored
1,91,11,0,3,5,36,0,1,13,0,State-Sponsored
1,95,15,0,3,5,47,1,1,5,1,State-Sponsored
1,84,10,0,3,6,39,1,1,8,1,State-Sponsored
1,67,12,0,4,4,42,1,1,7,1,State-Sponsored
1,76,16,0,3,7,57,1,1,13,1,State-Sponsored
1,73,18,0,4,6,53,1,1,13,0,State-Sponsored
1,99,19,0,3,6,42,0,1,6,1,State-Sponsored
1,63,18,0,4,6,41,1,1,9,1,State-Sponsored
1,88,13,0,3,4,39,1,1,14,0,State-Sponsored
1,96,19,0,3,4,56,1,1,7,0,State-Sponsored
1,98,15,0,3,4,32,1,1,12,0,State-Sponsored
1,95,12,0,4,6,57,1,0,8,0,State-Sponsored
1,81,12,0,4,4,56,1,1,9,1,State-Sponsored
1,86,17,0,4,5,49,0,1,13,1,State-Sponsored
1,81,12,0,4,6,45,1,1,10,0,State-Sponsored
1,93,13,0,4,6,43,1,1,9,0,State-Sponsored
1,88,14,0,3,5,41,1,1,12,0,State-Sponsored
1,95,19,0,3,4,43,0,0,8,1,State-Sponsored
1,69,10,0,3,5,35,1,1,5,0,State-Sponsored
1,97,15,0,4,7,32,1,1,11,1,State-Sponsored
1,78,18,0,4,4,44,1,1,9,1,State-Sponsored
1,93,18,0,4,4,51,1,1,5,1,State-Sponsored
1,60,15,0,4,6,39,1,1,12,1,State-Sponsored
1,80,10,0,3,4,41,1,1,12,1,State-Sponsored
1,87,15,0,4,5,43,1,1,9,0,State-Sponsored
1,61,15,0,3,4,38,0,1,12,1,State-Sponsored
1,87,19,0,3,6,48,1,1,9,0,State-Sponsored
1,62,14,0,3,5,42,0,1,13,0,State-Sponsored
1,86,18,0,4,6,33,1,1,11,0,State-Sponsored
1,78,17,0,3,7,43,1,1,6,1,State-Sponsored
1,82,19,0,3,6,48,1,1,9,0,State-Sponsored
1,73,13,0,3,4,32,1,1,12,1,State-Sponsored
1,97,16,0,4,5,50,1,1,8,0,State-Sponsored
1,97,10,0,4,4,43,1,1,9,1,State-Sponsored
1,63,17,0,3,5,57,1,1,8,1,State-Sponsored
1,90,19,0,3,6,33,0,1,9,1,State-Sponsored
1,85,14,0,4,5,44,1,1,9,1,State-Sponsored
1,99,11,0,4,6,57,1,1,14,1,State-Sponsored
1,99,17,0,4,5,53,1,1,9,1,State-Sponsored
1,70,13,0,3,6,56,1,1,12,0,State-Sponsored
1,97,12,0,3,4,53,1,1,8,1,State-Sponsored
1,97,15,0,3,6,34,1,1,9,1,State-Sponsored
1,65,10,0,3,7,46,1,1,13,1,State-Sponsored
1,95,11,0,3,7,42,1,1,11,1,State-Sponsored
1,78,12,0,3,4,32,1,1,14,0,State-Sponsored
1,74,17,0,3,7,44,0,1,14,1,State-Sponsored
1,81,18,0,4,6,48,1,1,10,1,State-Sponsored
1,94,19,0,3,4,42,1,1,7,1,State-Sponsored
1,81,11,0,3,4,34,1,1,12,1,State-Sponsored
1,63,18,0,4,4,36,1,1,10,1,State-Sponsored
1,98,19,0,4,4,39,0,1,10,1,State-Sponsored
1,67,18,0,3,7,30,1,1,9,0,State-Sponsored
1,79,17,0,3,4,35,1,1,7,0,State-Sponsored
1,95,17,0,3,7,46,1,1,9,1,State-Sponsored
1,99,11,0,4,5,31,1,1,13,0,State-Sponsored
1,66,19,0,3,4,52,1,1,13,0,State-Sponsored
1,80,16,0,3,5,41,0,0,7,0,State-Sponsored
1,86,14,0,3,4,56,1,1,7,0,State-Sponsored
1,91,10,0,4,6,31,0,1,7,1,State-Sponsored
1,88,10,0,4,6,48,1,1,14,0,State-Sponsored
